,region_name,date,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Rectal pain,symptom:Shallow breathing,symptom:Ventricular fibrillation
135,North Dakota,2020-07-20,31.0,22.726212964000005,22.726212964000005,31.263898374800004,35.747718770400006,35.747718770400006,35.07207460120001,22.726212964000005,38.266028855600005
136,North Dakota,2020-07-27,38.0,35.5020299816,22.726212964000005,28.377055106400004,50.98042367600001,22.726212964000005,33.536519671200004,29.666921247600005,29.666921247600005
137,North Dakota,2020-08-03,44.0,34.33500823480001,22.726212964000005,42.565582659600004,36.239096348000004,26.043011612800004,38.7574064332,28.622743895200006,34.33500823480001
138,North Dakota,2020-08-10,44.0,22.726212964000005,22.726212964000005,37.344695897600005,52.51597860600001,31.632431558000007,39.187361813600006,31.632431558000007,33.536519671200004
139,North Dakota,2020-08-17,42.0,27.824255331600007,22.726212964000005,24.753145471600003,34.5806970236,22.726212964000005,35.25634119280001,30.895365191600007,27.824255331600007
140,North Dakota,2020-08-24,53.0,22.726212964000005,22.726212964000005,30.281143219600004,46.558025477600005,27.947099726,36.66905172840001,32.0009647412,27.394299951200004
141,North Dakota,2020-08-31,44.0,33.1065642908,22.726212964000005,44.71535956160001,31.939542544000005,54.051533536000015,33.720786262800004,25.551634035200003,37.77465127800001
142,North Dakota,2020-09-07,45.0,31.816698149600004,22.726212964000005,42.627004856800006,47.17224744960001,64.18619607400001,65.9060175956,27.271455556800007,36.9147405172
143,North Dakota,2020-09-14,80.0,22.726212964000005,22.726212964000005,54.911444296800006,48.83064677400001,54.911444296800006,33.8436306572,27.7628331344,65.47606221520002
144,North Dakota,2020-09-21,92.0,34.396430432,24.998834260400006,40.538650152,36.607629531200004,53.86726694440001,39.4330506024,39.4330506024,48.83064677400001
145,New Hampshire,2020-03-09,0.0,173.3435726616,318.8709935118,289.3834849392,308.96223557039997,238.7652516,183.1329479772,304.0675479126,225.63316276199998
146,New Hampshire,2020-03-16,0.0,205.338116376,162.957284217,315.0507494862,236.6163643356,109.71263311019999,178.5964081968,488.9912352768,148.8701343726
147,New Hampshire,2020-03-23,33.0,209.87465615639996,140.3939679408,294.1587899712,246.8832701544,490.662592038,164.0317278492,413.8995636486,224.6781017556
148,New Hampshire,2020-03-30,53.0,142.5428552052,138.2450806764,264.7906640244,189.1020792672,251.6585751864,164.3898757266,360.7742951676,119.2632431742
149,New Hampshire,2020-04-06,60.0,207.725768892,76.0467326346,265.2681945276,218.1120573366,191.609114409,213.69490018199997,260.851037373,196.02627156360003
150,New Hampshire,2020-04-13,46.0,191.8478796606,106.7280674652,200.562811344,181.81973909340002,242.346730374,191.8478796606,232.31858980680002,210.710334537
